utc_iso,epoch_ms,sensor,x,y,z,activity
2026-04-28T00:22:50.944148+00:00,1777335770944,acc,-0.749930,0.853770,0.778852,walking
2026-04-28T00:22:50.944723+00:00,1777335770944,gyro,-12.947276,27.177176,2.320664,walking
2026-04-28T00:22:50.945884+00:00,1777335770945,mag,-0.700000,8.500000,-42.200001,walking
2026-04-28T00:22:50.951633+00:00,1777335770951,acc,-0.734305,0.791270,0.743695,walking
2026-04-28T00:22:50.952171+00:00,1777335770952,gyro,-9.771529,29.925417,3.481033,walking
2026-04-28T00:22:50.953414+00:00,1777335770953,mag,-0.700000,8.500000,-42.200001,walking
2026-04-28T00:22:50.959068+00:00,1777335770959,acc,-0.712820,0.756113,0.721234,walking
2026-04-28T00:22:50.959671+00:00,1777335770959,gyro,-5.985062,32.856876,4.336042,walking
2026-04-28T00:22:50.960859+00:00,1777335770960,mag,-0.700000,8.500000,-42.200001,walking
2026-04-28T00:22:50.974118+00:00,1777335770974,acc,-0.682547,0.736582,0.688031,walking
2026-04-28T00:22:50.974675+00:00,1777335770974,gyro,-4.824692,33.589745,-1.771164,walking
2026-04-28T00:22:50.975839+00:00,1777335770975,mag,-0.700000,8.500000,-42.200001,walking
2026-04-28T00:22:50.981646+00:00,1777335770981,acc,-0.633719,0.720469,0.665082,walking
2026-04-28T00:22:50.982220+00:00,1777335770982,gyro,-7.145431,36.460133,-3.236893,walking
2026-04-28T00:22:50.983411+00:00,1777335770983,mag,-0.700000,8.500000,-42.200001,walking
2026-04-28T00:22:50.996690+00:00,1777335770996,acc,-0.575613,0.712168,0.616742,walking
2026-04-28T00:22:50.997191+00:00,1777335770997,gyro,-5.252197,43.116985,-1.038299,walking
2026-04-28T00:22:50.998420+00:00,1777335770998,mag,2.700000,8.200000,-40.900002,walking
2026-04-28T00:22:51.004095+00:00,1777335771004,acc,-0.527762,0.683848,0.562543,walking
2026-04-28T00:22:51.004687+00:00,1777335771004,gyro,-5.557558,50.689919,-1.710092,walking
2026-04-28T00:22:51.005868+00:00,1777335771005,mag,2.700000,8.200000,-40.900002,walking
2026-04-28T00:22:51.011589+00:00,1777335771011,acc,-0.535086,0.665293,0.509809,walking
2026-04-28T00:22:51.012211+00:00,1777335771012,gyro,-6.534710,57.041412,-4.885839,walking
2026-04-28T00:22:51.013384+00:00,1777335771013,mag,2.700000,8.200000,-40.900002,walking
2026-04-28T00:22:51.026700+00:00,1777335771026,acc,-0.615164,0.656504,0.477094,walking
2026-04-28T00:22:51.027971+00:00,1777335771027,gyro,-4.030756,60.217159,-10.809828,walking
2026-04-28T00:22:51.028409+00:00,1777335771028,mag,2.700000,8.200000,-40.900002,walking
2026-04-28T00:22:51.034102+00:00,1777335771034,acc,-0.706473,0.641855,0.449262,walking
2026-04-28T00:22:51.034662+00:00,1777335771034,gyro,0.061072,56.247478,-16.672747,walking
2026-04-28T00:22:51.035832+00:00,1777335771035,mag,3.400000,10.700000,-39.400002,walking
2026-04-28T00:22:51.041678+00:00,1777335771041,acc,-0.767996,0.641367,0.457563,walking
2026-04-28T00:22:51.042179+00:00,1777335771042,gyro,2.259666,48.002747,-22.474592,walking
2026-04-28T00:22:51.049141+00:00,1777335771049,mag,3.400000,10.700000,-39.400002,walking
2026-04-28T00:22:51.056601+00:00,1777335771056,acc,-0.791922,0.655039,0.504926,walking
2026-04-28T00:22:51.057191+00:00,1777335771057,gyro,3.114675,37.803715,-26.993925,walking
2026-04-28T00:22:51.058369+00:00,1777335771058,mag,3.400000,10.700000,-39.400002,walking
2026-04-28T00:22:51.064108+00:00,1777335771064,acc,-0.784598,0.663340,0.548871,walking
2026-04-28T00:22:51.064945+00:00,1777335771064,gyro,2.381810,25.589302,-30.719318,walking
2026-04-28T00:22:51.065910+00:00,1777335771065,mag,3.400000,10.700000,-39.400002,walking
2026-04-28T00:22:51.071574+00:00,1777335771071,acc,-0.767996,0.656992,0.573285,walking
2026-04-28T00:22:51.072155+00:00,1777335771072,gyro,0.855009,14.168828,-32.795769,walking
2026-04-28T00:22:51.073394+00:00,1777335771073,mag,5.300000,9.700000,-39.400002,walking
2026-04-28T00:22:51.086617+00:00,1777335771086,acc,-0.749930,0.640879,0.576215,walking
2026-04-28T00:22:51.087193+00:00,1777335771087,gyro,0.610721,6.351605,-34.933289,walking
2026-04-28T00:22:51.088403+00:00,1777335771088,mag,5.300000,9.700000,-39.400002,walking
2026-04-28T00:22:51.094094+00:00,1777335771094,acc,-0.723074,0.613535,0.559125,walking
2026-04-28T00:22:51.094683+00:00,1777335771094,gyro,2.137522,1.160480,-37.070812,walking
2026-04-28T00:22:51.095881+00:00,1777335771095,mag,5.300000,9.700000,-39.400002,walking
2026-04-28T00:22:51.101654+00:00,1777335771101,acc,-0.727469,0.573496,0.551801,walking
2026-04-28T00:22:51.102181+00:00,1777335771102,gyro,6.412566,-4.336005,-41.956577,walking
2026-04-28T00:22:51.103399+00:00,1777335771103,mag,5.300000,9.700000,-39.400002,walking
2026-04-28T00:22:51.116715+00:00,1777335771116,acc,-0.749441,0.551523,0.577680,walking
2026-04-28T00:22:51.117185+00:00,1777335771117,gyro,10.870826,-13.252525,-44.399460,walking
2026-04-28T00:22:51.118388+00:00,1777335771118,mag,6.800000,9.700000,-38.200001,walking
2026-04-28T00:22:51.124119+00:00,1777335771124,acc,-0.752371,0.560801,0.609418,walking
